"filename", "language", "JSON", "HLSL", "C#", "ShaderLab", "comment", "blank", "total"
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 253, 4, 65, 322
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 198, 10, 51, 259
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 193, 8, 52, 253
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 82, 4, 21, 107
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "ShaderLab", 0, 0, 0, 290, 15, 85, 390
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 192, 8, 51, 251
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 104, 8, 28, 140
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 123, 4, 33, 160
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 253, 4, 70, 327
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 111, 0, 21, 132
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 63, 0, 0, 2, 20, 85
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 129, 0, 0, 2, 35, 166
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 62, 0, 0, 6, 13, 81
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 75, 0, 0, 7, 18, 100
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 2, 157
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Packages\manifest.json", "JSON", 47, 0, 0, 0, 0, 1, 48
"c:\Users\arnav\Desktop\Code\Kriegsspeil\Packages\packages-lock.json", "JSON", 563, 0, 0, 0, 0, 1, 564
"Total", "-", 765, 459, 1162, 2401, 135, 972, 5894
